location	sunrise	sunset	state	daylight_hours
Adak (AK)	9:08 am	8:45 pm	AK	11.62
Albany (NY)	7:13 am	6:57 pm	NY	11.73
Albuquerque (NM)	7:22 am	7:11 pm	NM	11.82
Ames (IA)	7:32 am	7:16 pm	IA	11.73
Anchorage (AK)	8:27 am	7:52 pm	AK	11.42
Annapolis (MD)	7:23 am	7:09 pm	MD	11.77
Atlanta (GA)	7:52 am	7:42 pm	GA	11.83
Augusta (ME)	6:58 am	6:40 pm	ME	11.7
Austin (TX)	7:45 am	7:36 pm	TX	11.85
Baltimore (MD)	7:23 am	7:09 pm	MD	11.77
Baton Rouge (LA)	7:18 am	7:10 pm	LA	11.87
Billings (MT)	7:33 am	7:15 pm	MT	11.7
Bismarck (ND)	8:03 am	7:43 pm	ND	11.67
Boise (ID)	8:03 am	7:46 pm	ID	11.72
Boston (MA)	7:02 am	6:46 pm	MA	11.73
Carson City (NV)	7:15 am	7:02 pm	NV	11.78
Charleston (WV)	7:43 am	7:30 pm	WV	11.78
Chicago (IL)	7:08 am	6:52 pm	IL	11.73
Columbia (SC)	7:39 am	7:28 pm	SC	11.82
Columbia (MO)	7:26 am	7:12 pm	MO	11.77
Concord (NH)	7:04 am	6:47 pm	NH	11.72
Dallas (TX)	7:42 am	7:32 pm	TX	11.83
Denver (CO)	7:17 am	7:03 pm	CO	11.77
Des Moines (IA)	7:32 am	7:16 pm	IA	11.73
Detroit (MI)	7:50 am	7:34 pm	MI	11.73
Fairbanks (AK)	8:22 am	7:40 pm	AK	11.3
Frankfort (KY)	7:56 am	7:43 pm	KY	11.78
Harrisburg (PA)	7:25 am	7:10 pm	PA	11.75
Hartford (CT)	7:08 am	6:53 pm	CT	11.75
Helena (MT)	7:47 am	7:28 pm	MT	11.68
Honolulu (HI)	6:43 am	6:39 pm	HI	11.93
Houston (TX)	7:35 am	7:27 pm	TX	11.87
Indianapolis (IN)	8:01 am	7:47 pm	IN	11.77
Jackson (MS)	7:15 am	7:06 pm	MS	11.85
Jefferson City (MO)	7:25 am	7:12 pm	MO	11.78
Juneau (AK)	7:23 am	6:52 pm	AK	11.48
Kansas City (MO)	7:35 am	7:21 pm	MO	11.77
Lansing (MI)	7:56 am	7:40 pm	MI	11.73
Las Vegas (NV)	6:56 am	6:44 pm	NV	11.8
Lincoln (NE)	7:44 am	7:29 pm	NE	11.75
Little Rock (AR)	7:24 am	7:13 pm	AR	11.82
Los Angeles (CA)	7:08 am	6:57 pm	CA	11.82
Louisville (KY)	7:59 am	7:46 pm	KY	11.78
Madison (WI)	7:15 am	6:59 pm	WI	11.73
Miami (FL)	7:33 am	7:27 pm	FL	11.9
Milwaukee (WI)	7:10 am	6:53 pm	WI	11.72
Minneapolis (MN)	7:32 am	7:14 pm	MN	11.7
Montgomery (AL)	7:00 am	6:50 pm	AL	11.83
Montpelier (VT)	7:09 am	6:51 pm	VT	11.7
Nashville (TN)	7:03 am	6:51 pm	TN	11.8
New Orleans (LA)	7:14 am	7:06 pm	LA	11.87
New York (NY)	7:13 am	6:58 pm	NY	11.75
Oklahoma City (OK)	7:45 am	7:34 pm	OK	11.82
Olympia (WA)	7:31 am	7:12 pm	WA	11.68
Philadelphia (PA)	7:18 am	7:03 pm	PA	11.75
Phoenix (AZ)	6:43 am	6:33 pm	AZ	11.83
Pierre (SD)	8:00 am	7:42 pm	SD	11.7
Portland (OR)	7:29 am	7:11 pm	OR	11.7
Raleigh (NC)	7:30 am	7:18 pm	NC	11.8
Richmond (VA)	7:26 am	7:13 pm	VA	11.78
Sacramento (CA)	7:22 am	7:09 pm	CA	11.78
Salem (OR)	7:31 am	7:13 pm	OR	11.7
Salt Lake City (UT)	7:45 am	7:30 pm	UT	11.75
San Diego (CA)	7:03 am	6:53 pm	CA	11.83
San Francisco (CA)	7:26 am	7:13 pm	CA	11.78
San Jose (CA)	7:23 am	7:11 pm	CA	11.8
Santa Fe (NM)	7:19 am	7:08 pm	NM	11.82
Seattle (WA)	7:29 am	7:09 pm	WA	11.67
Sioux Falls (SD)	7:45 am	7:28 pm	SD	11.72
Springfield (IL)	7:15 am	7:01 pm	IL	11.77
St. Joseph (MO)	7:36 am	7:22 pm	MO	11.77
St. Louis (MO)	7:17 am	7:04 pm	MO	11.78
St. Paul (MN)	7:31 am	7:13 pm	MN	11.7
Tallahassee (FL)	7:51 am	7:42 pm	FL	11.85
Topeka (KS)	7:39 am	7:26 pm	KS	11.78
Trenton (NJ)	7:16 am	7:01 pm	NJ	11.75
Unalaska (AK)	9:29 am	9:03 pm	AK	11.57
Washington DC (DC)	7:25 am	7:11 pm	DC	11.77
York (PA)	7:24 am	7:09 pm	PA	11.75
